user_id,loyalty_tier,hotel_id,checkin_date,checkout_date,length_of_stay,price_paid,trip_purpose,party_type,rating
U0034,Platinum,H051,9/23/23,9/27/23,4,1356,Business,Solo,5
U0034,Platinum,H081,5/1/24,5/15/24,14,8008,Leisure,Group,4
U0035,Silver,H088,9/27/25,10/4/25,7,462,Leisure,Couple,1
U0035,Silver,H063,8/9/25,8/16/25,7,1470,Business,Solo,2.5
U0035,Silver,H061,10/4/23,10/8/23,4,1816,Family,Family,2.5
U0035,Silver,H009,9/16/24,9/21/24,5,605,Leisure,Couple,2
U0035,Silver,H056,7/5/25,7/8/25,3,285,Leisure,Couple,2
U0035,Silver,H012,1/2/24,1/4/24,2,1008,Business,Solo,2.5
U0035,Silver,H006,11/14/24,11/19/24,5,525,Business,Solo,2
U0035,Silver,H051,7/17/25,7/21/25,4,1488,Leisure,Couple,1.5
U0035,Silver,H036,2/15/24,2/19/24,4,744,Business,Group,2
U0035,Silver,H054,6/23/23,6/26/23,3,822,Business,Solo,1.5
U0035,Silver,H007,8/6/23,8/8/23,2,182,Business,Solo,2.5
U0036,Gold,H041,7/29/25,8/1/25,3,1317,Family,Family,4
U0036,Gold,H071,4/2/24,4/6/24,4,1696,Business,Solo,4
U0036,Gold,H092,4/1/25,4/8/25,7,3332,Business,Solo,4
U0036,Gold,H072,10/29/25,10/30/25,1,474,Business,Solo,4
U0036,Gold,H081,11/25/25,11/29/25,4,2080,Family,Couple,4.5
U0036,Gold,H012,11/30/25,12/2/25,2,824,Business,Group,4
U0036,Gold,H014,2/26/25,3/2/25,4,1008,Business,Group,4
U0036,Gold,H083,2/23/25,3/5/25,10,2270,Business,Group,4
U0036,Gold,H062,11/8/23,11/18/23,10,4260,Business,Solo,4
U0036,Gold,H042,7/12/23,7/14/23,2,1222,Leisure,Solo,3.5
U0036,Gold,H005,1/4/24,1/7/24,3,354,Family,Couple,3
U0036,Gold,H023,6/23/25,6/27/25,4,836,Business,Solo,4
U0036,Gold,H094,6/21/23,6/23/23,2,476,Business,Solo,4
U0036,Gold,H091,6/18/24,6/21/24,3,1188,Business,Group,4
U0036,Gold,H024,3/1/24,3/5/24,4,1200,Leisure,Group,3.5
U0036,Gold,H097,5/8/25,5/15/25,7,882,Business,Solo,2
U0037,Diamond,H044,1/12/25,1/13/25,1,295,Business,Group,3
U0037,Diamond,H022,9/5/23,9/9/23,4,1912,Leisure,Couple,5
U0037,Diamond,H062,8/3/25,8/7/25,4,1804,Business,Group,4.5
U0037,Diamond,H049,10/30/24,11/9/24,10,470,Leisure,Group,1.5
U0037,Diamond,H021,9/27/25,10/4/25,7,3745,Business,Group,4.5
U0037,Diamond,H051,5/3/24,5/8/24,5,1630,Family,Couple,5
U0037,Diamond,H079,1/17/24,1/19/24,2,132,Leisure,Group,1
